0,0,0,0
0.033,4.68349387528904e-21,-9.1206181673483e-10,-6.61760202916498e-10
0.066,3.16248380837008e-19,-3.55122205844763e-09,-2.71585023841619e-09
0.099,3.79318375375796e-18,-7.73120254195665e-09,-6.29437403386067e-09
0.132,2.22419120102787e-17,-1.32693246257965e-08,-1.15268772851901e-08
0.165,8.7818157119017e-17,-1.99928322238927e-08,-1.85358631137827e-08
0.198,2.69618946373625e-16,-2.77351064755816e-08,-2.74394767061711e-08
0.231,6.9532248398261e-16,-3.633517044633e-08,-3.83518565496226e-08
0.264,1.577392992505e-15,-4.56382171965016e-08,-5.13827598292528e-08
0.297,3.24300632267644e-15,-5.54961749256445e-08,-6.66371614895033e-08
0.33,6.16649768784561e-15,-6.57681566349164e-08,-8.42149351624826e-08
0.363,1.10028065125627e-14,-7.63208104006331e-08,-1.04210604556424e-07
0.396,1.86201154823936e-14,-8.7028594075508e-08,-1.26713148420658e-07
0.429,3.01296708534692e-14,-9.77739873670915e-08,-1.51805849910936e-07
0.462,4.69106458921537e-14,-1.08447647588973e-07,-1.7956618589853e-07
0.495,7.06278822390846e-14,-1.18948512664472e-07,-2.10065753692471e-07
0.528,1.03240423669926e-13,-1.29183854086448e-07,-2.433702332656e-07
0.561,1.46998946537624e-13,-1.39069282352979e-07,-2.79539383204922e-07
0.594,2.04430488929427e-13,-1.48528707439962e-07,-3.1862706857638e-07
0.627,2.78309278483874e-13,-1.57494256969086e-07,-3.60681318824853e-07
0.66,3.71612943873194e-13,-1.65906154825861e-07,-4.05744413759541e-07
0.693,4.87463949520154e-13,-1.73712563061374e-07,-4.53852995618842e-07
0.726,6.29056695774303e-13,-1.80869389967323e-07,-5.05038205166315e-07
0.759,7.99571353381856e-13,-1.87340067246369e-07,-5.59325839745969e-07
0.792,1.00207612594043e-12,-1.93095299210495e-07,-6.16736531215127e-07
0.825,1.23942023103681e-12,-1.9811278692958e-07,-6.77285941679165e-07
0.858,1.51412043462817e-12,-2.02376930222936e-07,-7.40984974972366e-07
0.891,1.82824444049507e-12,-2.05878510339011e-07,-8.07840001861059e-07
0.924,2.18329480663219e-12,-2.08614356105745e-07,-8.77853096988889e-07
0.957,2.58009731617795e-12,-2.10586996256697e-07,-9.51022285637897e-07
0.99,3.01869785899175e-12,-2.1180430054855e-07,-1.02734179844272e-06
1.023,3.49827187285275e-12,-2.12279112185244e-07,-1.10680233226487e-06
1.056,4.01705024675509e-12,-2.12028873954715e-07,-1.18939131551313e-06
1.089,4.57226530388039e-12,-2.11075250367169e-07,-1.27509317627806e-06
1.122,5.16012006401354e-12,-2.09443747961128e-07,-1.36388961173738e-06
1.155,5.77578344412996e-12,-2.07163335816088e-07,-1.45575985737935e-06
1.188,6.41341340513307e-12,-2.0426606818007e-07,-1.55068095468583e-06
1.221,7.06620930909206e-12,-2.00786710987854e-07,-1.64862801601149e-06
1.254,7.72649393445766e-12,-1.96762373912924e-07,-1.74957448549124e-06
1.287,8.38582472850217e-12,-1.9223214946294e-07,-1.85349239490511e-06
1.32,9.03513298017856e-12,-1.87236760497676e-07,-1.9603526135222e-06
1.353,9.6648886974171e-12,-1.81818217419066e-07,-2.07012509104199e-06
1.386,1.02652880958325e-11,-1.76019486157171e-07,-2.18277909283919e-06
1.419,1.0826459991158e-11,-1.69884167953451e-07,-2.29828342680754e-06
1.452,1.13387019360945e-11,-1.63456191825605e-07,-2.41660666115303e-06
1.485,1.1792761245047e-11,-1.56779520485838e-07,-2.53771733255541e-06
1.518,1.21800942307831e-11,-1.49897870374921e-07,-2.66158414436212e-06
1.551,1.24931031813619e-11,-1.42854446371971e-07,-2.78817615441671e-06
1.584,1.27253552438391e-11,-1.3569169164579e-07,-2.91746295218162e-06
1.617,1.28717756510305e-11,-1.28451053023974e-07,-3.04941482490174e-06
1.65,1.29288082558107e-11,-1.21172762172486e-07,-3.18400291261483e-06
1.683,1.28945373182752e-11,-1.13895632801413e-07,-3.32119935186578e-06
1.716,1.27687657229968e-11,-1.06656874042041e-07,-3.46097740803138e-06
1.749,1.25530462370189e-11,-9.94919200763105e-08,-3.60331159620274e-06
1.782,1.22506639960178e-11,-9.2434276041775e-08,-3.74817779061236e-06
1.815,1.18665700624945e-11,-8.55153801836232e-08,-3.89555332262582e-06
1.848,1.14072675699932e-11,-7.87644821796463e-08,-4.04541706734571e-06
1.881,1.08806535862121e-11,-7.22085375242868e-08,-4.19774951890242e-06
1.914,1.02958213345474e-11,-6.58721178237369e-08,-4.35253285452698e-06
1.947,9.66282875378753e-12,-5.97773368253471e-08,-4.50975098751783e-06
1.98,8.9924405036864e-12,-5.39437919809995e-08,-4.66938960923058e-06
2.013,8.29585140451959e-12,-4.8388521325421e-08,-4.83143622022887e-06
2.046,7.58439990683297e-12,-4.31259754363323e-08,-4.99588015074355e-06
2.079,6.86928051003675e-12,-3.81680042335669e-08,-5.16271257059626e-06
2.112,6.16126408258267e-12,-3.35238583685888e-08,-5.33192648874455e-06
2.145,5.47043478950912e-12,-2.9200204953869e-08,-5.50351674260966e-06
2.178,4.80595182125968e-12,-2.52011573830336e-08,-5.67747997734743e-06
2.211,4.17584336435355e-12,-2.15283189973307e-08,-5.85381461522113e-06
2.244,3.58683928907454e-12,-1.81808403613999e-08,-6.03252081523203e-06
2.277,3.04424788549136e-12,-1.51554899213439e-08,-6.21360042315977e-06
2.31,2.55188069325603e-12,-1.24467378303469e-08,-6.39705691215552e-06
2.343,2.11202808062253e-12,-1.00468527412944e-08,-6.58289531402844e-06
